;ID_Estado;Estado;Region_Tipo;PIB;Año;Paro_Pct;Natalidad;AfD;CDU_CSU;FDP;LINKE;SPD;VERDES
48;2;Baja Sajonia;Oeste;200378;2005;457109;669930;0,0;33,6;8,9;4,3;43,2;7,4
49;2;Baja Sajonia;Oeste;210086;2006;417847;653270;0,0;33,6;8,9;4,3;43,2;7,4
50;2;Baja Sajonia;Oeste;219654;2007;350932;653260;0,0;33,6;8,9;4,3;43,2;7,4
51;2;Baja Sajonia;Oeste;225331;2008;303269;648870;0,0;33,6;8,9;4,3;43,2;7,4
52;2;Baja Sajonia;Oeste;216589;2009;307226;622280;0,0;33,2;13,3;8,6;29,3;10,7
53;2;Baja Sajonia;Oeste;229928;2010;298652;631300;0,0;33,2;13,3;8,6;29,3;10,7
54;2;Baja Sajonia;Oeste;243311;2011;274707;612800;0,0;33,2;13,3;8,6;29,3;10,7
55;2;Baja Sajonia;Oeste;248968;2012;264543;614780;0,0;33,2;13,3;8,6;29,3;10,7
56;2;Baja Sajonia;Oeste;251809;2013;269207;628790;3,7;41,1;4,2;5,0;33,1;8,8
57;2;Baja Sajonia;Oeste;262927;2014;267624;664060;3,7;41,1;4,2;5,0;33,1;8,8
58;2;Baja Sajonia;Oeste;265503;2015;256434;671830;3,7;41,1;4,2;5,0;33,1;8,8
59;2;Baja Sajonia;Oeste;285288;2016;252574;752150;3,7;41,1;4,2;5,0;33,1;8,8
60;2;Baja Sajonia;Oeste;292612;2017;244260;730200;9,1;34,9;9,3;7,0;27,4;8,7
61;2;Baja Sajonia;Oeste;303764;2018;227834;736520;9,1;34,9;9,3;7,0;27,4;8,7
62;2;Baja Sajonia;Oeste;314460;2019;218123;732860;9,1;34,9;9,3;7,0;27,4;8,7
63;2;Baja Sajonia;Oeste;306655;2020;251377;741190;9,1;34,9;9,3;7,0;27,4;8,7
64;2;Baja Sajonia;Oeste;321135;2021;243021;764410;7,4;24,2;10,5;3,3;33,1;16,1
65;2;Baja Sajonia;Oeste;343641;2022;230553;712890;7,4;24,2;10,5;3,3;33,1;16,1
66;2;Baja Sajonia;Oeste;369147;2023;251873;671620;7,4;24,2;10,5;3,3;33,1;16,1
67;2;Baja Sajonia;Oeste;381267;2024;263090;656460;7,4;24,2;10,5;3,3;33,1;16,1
68;3;Baviera;Oeste;264017;1991;214780;1344000;0,0;51,9;8,7;0,2;26,7;4,6
69;3;Baviera;Oeste;284019;1992;243224;1339460;0,0;51,9;8,7;0,2;26,7;4,6
